"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773400210200000","Опора","1",""
"2","00773400200001010","Подшипник","12",""
"3","00773400200001070","Стопорный штифт","2",""
"4","1040002437","Болт M12×35-8,8","2","JB/T5783-2000"
"5","00773400200001060","Штифт","1",""
"6","00773400200001050","Штифт","1",""
"7","1040004658","Болт M10×110-8.8","2","JB/T5782-2000"
"8","1040302519","Шайба 10-140HV","8","GB/T96.1-2002"
"9","00773400200001080","Щиток трубы","2",""
"10","1040102785","Винт M5×25-8.8","8","GB/T70.3-2000"
"11","00773400200001090","Фиксирующий желоб для трубы","4",""
"12","1040004535","Болт M10×60-8.8","2","JB/T5782-2000"
"13","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"14","00773400200400000","Верхний шатун","1",""
"15","00773400200001030","Штифт","2",""
"16","1040004657","Болт M12×80-8,8","4","JB/T5782-2000"
"17","1040200145","Гайка M10-8","8","JB/T889-1986"
"18","1040004656","Болт M10×65-8.8","4","JB/T5782-2000"
"19","00773400200600000","Нижний шатун","2",""
