"№ п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1040004519","Болт M8×25-8.81","2","JB/T5783-2000"
"2","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"3","1010306349","Клапан ходового управления","1",""
"4","1140114187","Манометрический штуцер","1",""
"5","1140101461","Прямой соединитель","6",""
"6","1040102739","Винт M8×60-8.8","2","GB/T70.1-2000"
"7","1140101462","Прямой соединитель","1",""
