"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"19","00773400300001200","Стопорный штифт","1",""
"20","1040004664","Болт M10×25-8.8","1","JB/T5782"
"21","00773400801400000","Штифт поддона","1",""
"22","1040302410","Шайба 4-200HV","4","JB/T97.1"
"23","1040004591","Болт M3×8-8.8","4","JB/T5783"
"24","00773400830210000","Подставка","1",""
"25","1040201743","Гайка M10","2","QC/T608"
"26","00773400830201020","Упорная планка","1",""
"27","00773400800001010","Подшипник","2",""
"28","00773400800001120","Ограничительный   планка","1",""
"29","1040201874","Гайка M8-8","2","JB/T889.1"
"30","1040302522","Шайба 8-140HV","2","JB/T96.1"
"31","1040004610","Болт M8×30-8,8","2","JB/T5782"
"32","00773400800001150","Фрикционная накладка","1",""
"33","1040001122","Болт M5×16-8,8","2","JB/T5783"
"34","1040300514","Шайба 5-200HV","2",""
"35","1020305006","Контактор постоянного тока","1",""
