"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773400800001270","Опорная плита аварийного 
насоса","1",""
"2","1040302522","Шайба 8-140HV","2","JB/T96.1"
"3","1040004660","Болт M8×20-8,8","2","JB/T5782"
"4","1040201892","Гайка M6-8","4","JB/T6170"
"5","1040004662","Болт M6×20-8,8","2","JB/T5782"
"6","1040302527","Шайба 6-140HV","4","JB/T96.1"
"7","1040004660","Болт M8×20-8,8","4","JB/T5782"
"8","1040302522","Шайба 8-140HV","4","JB/T96.1"
"9","00773400800001230","Опора шкафа  
электрического 
управления","1",""
"10","1040004653","Болт M12×30-10,9","10","JB/T5783"
"11","1040301031","12-300HV","10","JB/T96.1"
"12","00773400800800000","Правая стойка","1",""
