"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"33","00773400300400000","Основная стрела","1",""
"34","00773400300001070","Подшипник","2",""
"35","00773400300001090","Прокладочное кольцо","1",""
"36","00773400300001210","Подшипник","8",""
"37","00773400300001270","Прокладочное кольцо","1",""
"38","00773400300001050","Подшипник","6",""
"39","00773400300600000","Стрела выдвижения-втягивания","1",""
"40","00773400300001080","Прокладочное кольцо","1",""
"41","00773400300001040","Штифт IV","1",""
"42","00773400200001070","Стопорный штифт","2",""
"43","1040004511","Болт M12×30-8,8","2","JB/T5783"
"44","00773400300001190","Прокладочное кольцо","1",""
"45","00773400301000000","Нижний гидроцилиндр 
выравнивания","1",""
"46","00773400300001260","Прокладочное кольцо","1",""
"47","00773400300001030","Штифт III","1",""
"48","1040002446","Болт M12×40-8,8","1","JB/T5783"
"49","00773400400001250","Стопорный штифт","1",""
"50","00773400300800000","Гидроцилиндр изменения 
вылета основной стрелы","1",""
