"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"17","00773400400001220","Нижняя крышка 2","1",""
"18","1040200161","Гайка M10","3","JB/T889.1"
"19","00773400400001290","Упорная труба","2",""
"20","1040004631","Болт M16×220-8,8","2","JB/T5782"
"21","00773400400001050","Вал A24","2",""
"22","00773400400001170","Стопорный штифт","2",""
"23","1040004499","Болт M20×45-8,8","2","JB/T5783"
"24","00773400400001400","Длинная упорная труба","1",""
"25","00773400400001410","Длинный стержень винта","1",""
"26","1040002433","Болт M10×20-8,8","4","JB/T5783"
"27","00773400400001300","Маленькая крышка","1",""
"28","1040201898","Гайка M10","2","JB/T889.1"
"29","1040302489","Шайба 10-200HV","4","JB/T97.1"
"30","00773400401000000","Нижняя стойка","1",""
"31","00773400400001310","Прижимная 
резиновая 
планка","2",""
"32","00773400400001320","Прижимная планка","1",""
"33","1040004581","Болт M10×80-8,8","2","JB/T5783"
