"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773407130601200","Планка III","2",""
"2","00773407130601160","Ветроотбойник","1",""
"3","00773407130601170","Изогнута пластинка III","1",""
"4","1040000110","Болт M8×35-8,8","4","JB/T5783-2000"
"5","00771107120601010","Монтажная 
панель 
водяного 
бака","1",""
"6","00773407130601080","Гнутая пластина I","1",""
"7","1000300735","Расширительный бак","1",""
"8","1990202279","Хомут спирального червяка","4",""
"9","00771107120601120","Паровой рукав I","1",""
"10","00771107120601130","Паровой рукав II","1",""
"11","00771107120601080","Обратный рукав I","1",""
"12","1990202284","Хомут 
спирального 
червяка 
шайбы","6",""
"13","00771107120601100","Обратный стальной водовод","1",""
"14","00771107120601110","Трубный зажим на обеих сторон","2",""
"15","00771107120601140","Опора обратной трубы","1",""
"16","00771107120601090","Обратный рукав II","1",""
"17","00771107120601070","Водозаборный рукав II","1",""
"18","1040000239","Болт M8×25-8,8","4","JB/T5782-2000"
