"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773400400001020","Подшипник","2",""
"2","00773400200001070","Стопорный штифт","1",""
"3","00773400400001230","Вал A24","1",""
"4","1040004511","Болт M12×30-8,8","1","JB/T5783"
"5","00773400401400000","Тяга синхронизации","1",""
"6","00773400400001080","Подшипник","2",""
"7","00773400400001070","Вал A24","1",""
"8","1040200161","Гайка M16-8","3","JB/T889.1"
"9","1040004615","Болт M16×110-8,8","1","JB/T5783"
"10","1040300272","Стопорное кольцо","2",""
"11","00773400400001130","Подшипник","4",""
"12","00773400400001030","Вал A24","2",""
"13","00773400401200000","Гидроцилиндр 
башенной 
стрелы","1",""
"14","1040004629","Болт M16×120-8,8","2","JB/T5782"
"15","00773400400001040","Вал A24","1",""
"16","1040004570","Болт M16×30-8,8","1","JB/T5783"
"17","00773400400001250","Стопорный штифт","1",""
"18","00773400400001100","Прокладочное кольцо","1",""
