"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1000100395","Фильтр воздуха в сборе","1",""
"2","00773407100801040","Впускная труба II","1",""
"3","00773407130801040","Гнутая пластина","1",""
"4","00773407130801020","Впускная стальная труба","1",""
"5","00771107121001060","Трубный зажим на обеих сторон","1",""
"6","1040000239","Болт M8×25-8,8","4","JB/T5782-2000"
"7","1990202288","Хомут спирального червяка","5",""
"8","00773407130801030","Впускная труба III","1",""
"9","00773407130801010","Впускная труба I","1",""
"10","1040004600","Болт M8×35-8,8","2","JB/T5782-2000"
"11","1040301515","Шайба 8-200HV","6","GB/T97.1-2002"
"12","1040200503","Гайка M8-8","4","GB/T889.1-2000"
