"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"17","00773400300001280","Кожух 
селекторного 
клапана 
платформы","1",""
"18","1040004672","Болт M5×10-8,8","4",""
"19","00773400301400000","Гидроцилиндр 
выдвижения-
втягивания","1",""
"20","00773400300001160","Боковая 
подпирающая 
плита 
гидроцилиндра 
выдвижения-
втягивания","2",""
"21","00773400300001180","Капот основной стрелы","1",""
"22","1040302522","Шайба 8-140HV","4","JB/T96.1"
"23","1040201860","Гайка M10","4","QC/T608"
"24","00773400300001200","Стопорный штифт","1",""
"25","1040000090","Болт M10×30-8,8","3","JB/T5783"
"26","00773400300001170","Штифт Ⅴ","1",""
"27","00773400301800000","Верхняя пылезащитная щетка","1",""
"28","00773400300001140","Регулировочная шайба Ⅴ","2",""
"29","00773400302000000","Боковая щетка","2",""
"30","00773400300001100","Регулировочная шайба I","2",""
"31","1040002435","Болт","2",""
"32","00773400301600000","Нижняя пылезащитная щетка","1",""
