"№ п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1140114040","Прямой соединитель","8",""
"2","1140101629","Резьбовая заглушка","1",""
"3","1140114187","Манометрический штуцер","1",""
"4","1140107481","Прямой соединитель","1",""
"5","1010306014","Главный клапан","1",""
"6","1010302829","Обратный 
клапан 
с 
прямым 
соединителем","1",""
"7","1040300062","Шайба 6","4","JB/T93-1987"
"8","1040100058","Винт M6×16-8.8","4","GB/T70.1-2000"
