"№ п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1140112827","Прямой соединитель","1",""
"2","1010001911","Аварийный насос с приводом от 
электродвигателя","1",""
"3","1140103405","Прямой соединитель","1",""
"4","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"5","1040301502","Шайба 10","2","JB/T93-1987"
"6","1040101492","Винт M10×25-8,8","2","GB/T70.1-2000"
