"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773401100200000","Левой капота","1",""
"2","1100700163","Дверная ручка","1",""
"3","1040201089","Гайка M8-8","4","JB/T6170-2000"
"4","1110100302","Пневматическая пружина 
094587","2",""
"5","1040201874","Гайка M8-8","6","GB/T889.1-2000"
"6","1040302488","Шайба 8-140HV","12","GB/T97.1-2002"
"7","1101000089","Шарнир CCM-Z270","2",""
"8","1040004667","Болт M8×16-8,8","6","JB/T5782-2000"
"9","1040300771","Шайба 6-200HV","7","GB/T97.1-2002"
"10","1040102766","Винт M6×25-8.8","7","GB/T70.1-2000"
"11","00773401100001010","Держатель левого замка","1",""
"12","1109900779","Дверной замок 50076","1",""
"13","00773401100600000","Фундамент под левой капота","1",""
"14","1040302522","Шайба 8-140HV","6","GB/T96.1-2002"
"15","1040004610","Болт M8×30-8,8","6","JB/T5782-2000"
"16","1040004678","Болт для ограничителя 
открывания двери M10×70","2",""
"17","1040200113","Гайка M10-8","8","JB/T6170-2000"
"18","1040302509","Шайба 10-140HV","2","GB/T97.1-2002"
