"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"19","00771107120601030","Водозаборная стальная труба","1",""
"20","00771107120601040","Опора водозаборной трубы","1",""
"21","1040200284","Гайка M8-9","22","JB/T6182-2000"
"22","1990202282","Хомут спирального червяка","2",""
"23","00771107120601050","Труба подпиточной воды","1",""
"24","00771107120601060","Водозаборный рукав I","1",""
"25","1990202283","Хомут 
спирального 
червяка 
шайбы","2",""
"26","00773407130601210","Губка изоляции","1",""
"27","00771407100601170","Подкладка","6",""
"28","1040002262","Болт M12×55-10,9","4","JB/T5783-2000"
"29","1000300776","Радиатор в сборе","1",""
"30","1040300041","Шайба 12-200HV","4","GB/T97.1-2002"
"31","1040200170","Гайка M12-8","4","JB/T889-1986"
"32","00773407130601070","Гнутая пластина Ⅱ","1",""
"33","1040004517","Болт M8×16-8,8","12","JB/T5783-2000"
