"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773402811600000","Рулевой привод","1",""
"2","00773402811400000","Гидроцилиндр рулевого 
управления","2",""
"3","00773402810800000","Шкворень VI","6",""
"4","1040004646","Болт M10×15-8.8","6","JB/T5783-2000"
"5","00773402800001350","Подшипник","2",""
"6","00773402810200001","Сварные изделия переднего 
моста","1",""
"7","00773400200001020","Подшипник","2",""
"8","00773402800001070","Подшипник","2",""
"9","1040002437","Болт M12×35-8,8","8","JB/T5783-2000"
"10","00773400200001070","Стопорный штифт","4",""
"11","00773402800001120","Шкворень II","2",""
"12","00773402811000000","Поворотная цапфа  
II","1",""
"13","00773402810001161","Опора маслопровода мотора  
II","1",""
"14","00773402800001130","Шкворень III","2",""
"15","1040004570","Болт M16×30-8,8","1","JB/T5783-2000"
"16","00773400400001250","Стопорный штифт","1",""
"17","00773402810001060","Шкворень I","1",""
"18","00773402810001260","Подшипник","6",""
