"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00773400800600000","Левая стойка","",""
"2","1040004664","Болт M10×25-8.8","7","JB/T5782"
"3","1040302519","Шайба 10-140HV","7","JB/T96.1"
"4","1040004662","Болт M6×20-8,8","2","JB/T5782"
"5","1040302527","Шайба 6-140HV","4","JB/T96.1"
"6","1040201892","Гайка M6-8","2","JB/T6170"
"7","1040004597","Болт M10×35-8.8","2","JB/T5782"
"8","00773400802000000","Опора фильтра гидравлического 
масла","1",""
"9","1040001122","Болт M5×16-8,8","2","JB/T5783"
"10","1040300514","Шайба 5-200HV","2","JB/T97.1"
"11","1020304982","Зуммер","1",""
"12","1040200574","Гайка M16 -8","2","JB/T6170"
