"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040101014","Винт M10×40-8,8","2","JB/T70.1"
"2","00773400800001210","Вкладыш для поддона","2",""
"3","00773400800001220","Регулировочная шайба","6",""
"4","1040004597","Болт M10×35-8.8","1","JB/T5782"
"5","1040302519","Шайба 10-140HV","2","JB/T96.1"
"6","00773400830400000","Кронштейн двигателя","1",""
"7","00773400830601010","Соединительная плита","1",""
"8","1040300735","Шайба 6-200HV","13","JB/T96.1"
"9","1040002555","Болт M6×16-70","4","JB/T5783"
"10","00773400830601020","Защитный 
кожух 
коробки 
управления","1",""
"11","1040302410","Шайба 4-200HV","3","JB/T97.1"
"12","1040004591","Болт M3×8-8.8","3","JB/T5783"
"13","1040004591","Болт M3×8-8.8","4","GB5783"
"14","1040302410","Шайба GB/T97.1","4","JB/T97.1"
"15","1040200113","Гайка M10-8","1","GB6170"
"16","1040002555","Болт M6×16-70","7","GB5783"
"17","00773400800001030","Вал поддона","1",""
"18","00773400830201010","Крышка","1",""
