"№ п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1040000288","Болт M8×25-8.81","2","JB/T5783-2000"
"2","1040201897","Гайка M8-8","4","GB/T889.1-2015"
"3","1140101463","Прямой соединитель","1",""
"4","1140102936","Прямой соединитель","3",""
"5","1019807719","Блок возврата масла в сборе","1",""
"6","1140101707","Прямой соединитель","2",""
"7","1040100024","Винт M8×65-8.8","2","GB/T70.1-2000"
