"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040004660","Болт M8×20-8,8","4","JB/T5782-2000"
"2","1040301515","Шайба","24","GB/T97.1-2002  8-
200HV"
"3","00773407131001030","Выхлопная труба I","1",""
"4","1040000239","Болт M8×25-8,8","16","JB/T5782-2000"
"5","00773407131001070","Выхлопной хвост","1",""
"6","00773407101001030","Усиленная пластина","1",""
"7","00773407131001020","Выхлопная труба","1",""
"8","00771407121001050","Герметизирующая прокладка","3",""
"9","00771407121001010","Шумотушитель","1",""
"10","1040200284","Гайка M8-9","16","JB/T6182-2000"
"11","1040004667","Болт M8×16-8,8","2","JB/T5782-2000"
"12","00773407131001060","Опора","1",""
"13","1040102037","Винт M8×70-10.9-DKL","2","GB/T70.1-2000"
"14","00771107121001030","Длинная шайба","1",""
"15","00771107121001020","Шайба","1",""
