"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773402810410000","Сварная деталь рамы","1",""
"2","1040004546","Болт 5/8-11UNC×45-10.9","24","ANSIB18.3"
"3","1040302492","Шайба 16-200HV","24","GB/T97.1-2002"
"4","1030202174","Редуктор","4",""
"5","1030800566","Шина 315/ 55D20","2","LEFT"
"6","1040201891","Гайка M16×1,5-10","36","GB/T6187.1-2000"
"7","00773402800001280","Монтажная 
панель 
блок 
клапанов шасси","2",""
"8","1040004519","Болт M8×25-8,8","4","JB/T5783-2000"
"9","1040201897","Гайка M8-8","4","GB/T889.1-2015"
"10","00773402800001300","Регулировочная 
шайба 
направляющего  рельса  датчика 
угла","6",""
"11","00773402800001290","Направляющий 
рельс 
датчика 
угла","1",""
"12","1040102761","Винт M10×20-8,8","2","GB/T70.1-2000"
"13","00773402810001020","Передняя крышка рамы","1",""
"14","1040002434","Болт M10×25-8.8","6","JB/T5783-2000"
"15","1040004644","Болт M12×45-10,9","8","JB/T5783-2000"
