"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"17","1040201901","Гайка M24 -10","1","GB/T889.1-2015"
"18","1040301511","Шайба 24-200HV","1","GB/T97.1-2002"
"19","00773400100401030","Регулировочная шайба","2",""
"20","1040004505","Болт M24×280-10,9","1","JB/T5782-2000"
"21","00773400110410000","Переходный держатель","1",""
"22","1040003324","Болт M16×30-10,9-DKL","4","JB/T5783-2000"
"23","1040301016","Шайба 16-300HV","4","GB/T97.1-2002"
"24","00773400110401010","Анкерная плита Ⅱ","2",""
"25","1040004619","Болт M8×35-8,8","4","JB/T5783-2000"
"26","1040301515","Шайба 8-200HV","7","GB/T97.1-2002"
"27","00773400100401020","Прижимная планка","2",""
"28","1040004033","Болт M10×25-10.9","8","JB/T5783-2000"
"29","1040301020","Шайба 10-300HV","8","GB/T97.1-2002"
"30","1040004596","Болт M8×50-8,8","1","JB/T5782-2000"
"31","1040201880","Гайка M8-6","1","JB/T802-1988"
"32","00773400100201020","Личинка замка","1",""
"33","00775600101801020","Пружина","1",""
