"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773400800001020","Нижний штифт башенной 
стрелы","2",""
"2","00773400400001170","Стопорный штифт","2",""
"3","1040004499","Болт M16×45-8,8","2","JB/T5783"
"4","1040004662","Болт M6×20-8,8","12","JB/T5782"
"5","1040302527","Шайба 6-140HV","12","JB/T96.1"
"6","00773400800001090","Задняя крышка трубопровода","1",""
"7","1040102761","Винт M10×20-8,8","4","JB/T70.1"
"8","00773400800001060","Амортизационная подушка","1",""
"9","1040102778","Винт M6×10-8.8","3","JB/T70.1"
"10","1040300771","Шайба 6-200HV","5","JB/T97.1"
"11","1021404019","Датчик угла наклона","1",""
"12","00773400801800000","Опора крышки","1",""
"13","1040302522","Шайба 8-140HV","4","JB/T96.1"
"14","1040004660","Болт M8×20-8,8","4","JB/T5782"
"15","00773400800001110","Установочное гнездо путевого 
выключателя","1",""
"16","1040201772","Гайка M4-A2-70","2","JB/T6170"
"17","1040002269","Болт M24×16-10,9","2","JB/T5783"
"18","1040302410","Шайба 4-200HV","2","JB/T97.1"
