"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040004662","Болт M6×20-8,8","2","JB/T5782"
"2","00773400800001200","Опора переключателя","1",""
"3","1040300771","Шайба 6-200HV","6","JB/T97.1"
"4","1040201892","Гайка M6-8","2","JB/T6170"
"5","1040004610","Болт M8×30-8,8","4","JB/T5782"
"6","1040302522","Шайба 8-140HV","8","JB/T96.1"
"7","1040201874","Гайка M8-8","4","JB/T889.1"
"8","00773400800001040","Поддон аккумулятора","1",""
"9","00773400800001130","Тяга аккумулятора","4",""
"10","00773400800001140","Нажимная плита аккумулятора","2",""
"11","1040201892","Гайка M6-8","4","JB/T6170"
"12","00773400800001160","Изоляционная втулка","4",""
"13","00773400800001170","Перегородка для аккумулятора","1",""
"14","1040300514","Шайба 5-200HV","4","JB/T97.1"
"15","1040004665","Болт M5×45-8,8","4","GB5783"
"16","1029900667","Главный выключатель питания","1",""
