"№ 
п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","00771107120201030","Крышка муфты","1",""
"2","1040302489","Шайба 10-200HV","20","GB/T97.1-2002"
"3","1040003028","Болт","12","3/8-16UNC-2A×30-10.9"
"4","1009805935","Пружинная муфта в сборе","1",""
"5","1040000530","Болт M16×120-10,9","4","JB/T5782-2000"
"6","1001500061","Амортизатор двигателя","8",""
"7","1040200161","Гайка M16 -8","4","JB/T889-1986"
"8","00773407100201050","Подкладка","4",""
"9","00771107120201040","Монтажная панель II","1",""
"10","1040004683","Болт дюймового сортамента","8","3/8-16UNC-2A×25-10.9"
"11","1040302491","Шайба 14-200HV","8","GB/T97.1-2002"
"12","1040003535","Болт M16×1,5×30-10,9","8","JB/T5786-2000"
"13","1040301016","Шайба 16-300HV","4","GB/T97.1-2002"
"14","1000000733","Дизельный двигатель","1",""
"15","00771107120201020","Монтажная панель III","2",""
"16","1040101835","Винт","8","5/16-18UNC-2A×25-10.9"
"17","00771107120201010","Монтажная панель I","1",""
