"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773400302400000","Ползун","4",""
"2","00773400300001110","Регулировочная шайба Ⅱ","4",""
"3","00773400300001120","Регулировочная шайба Ⅲ","4",""
"4","00773400300001240","Контактная 
плата 
концевого 
выключателя","1",""
"5","1040004507","Болт M10×40-8,8","4","JB/T5783"
"6","00773400300001250","Правая 
контактная 
плата 
концевого выключателя","1",""
"7","1040302519","Шайба 10-140HV","32","JB/T96.1"
"8","1040002433","Болт M10×20-8.8","14","JB/T5783"
"9","1040002434","Болт M10×25-8.8","10","JB/T5783"
"10","00773400300001130","Регулировочная шайба IV","14",""
"11","00773400302200000","Ползун","12",""
"12","00773400300001150","Регулировочная шайба Ⅵ","4",""
"13","00773400300001020","Штифт Ⅱ","2",""
"14","1040302506","Стопорное кольцо","4",""
"15","1040004519","Болт M8×25-8,8","12","JB/T5783"
"16","00773400300001290","Подпирающая 
плита 
гидроцилиндра 
выдвижения-
втягивания","2",""
