"№ п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1010500340","Воздушный фильтр","1",""
"2","1040101492","Винт M10×25-8,8","2","GB/T70.1-2000"
"3","1040301502","Шайба 10","2","JB/T93-1987"
"4","1010601121","Обратный масляный фильтр","1",""
"5","1140113717","Прямой соединитель","1",""
"6","1040100859","Винт M8×16-8.8","6","GB/T70.1-2008"
"7","1040301510","Шайба 8","6","JB/T93-1987"
"8","773405200220000","Крышка люка","1",""
"9","00773405200230000","Уплотняющая пластина","1",""
"10","1019901354","Уровнемер","1",""
"11","00773405200210000","Корпус масляного бака","1",""
"12","1140101462","Прямой соединитель","1",""
"13","1140101628","Заглушка","2",""
"14","1040004159","Болт M12×20-8,8","4","JB/T5787-2000"
"15","1140101821","Прямой соединитель","1",""
"16","1140111518","Прямой соединитель","1",""
"17","1140101707","Прямой соединитель","1",""
