"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1000400485","Бак топлива в сборе","1",""
"2","00773407100401110","Подкладка","2",""
"3","00773407130401020","Труба топлива II","1",""
"4","00773407130401010","Труба топлива II","1",""
"5","00773407130401040","Штуцер","1",""
"6","00773407130401060","Гибкий вал топливного дросселя","1",""
"7","00773407130401030","Труба топлива III","1",""
"8","1040004517","Болт M8×16-8,8","2","JB/T5783-2000"
"9","1040301515","Шайба 8-200HV","6","GB/T97.1-2002"
"10","00773407130401070","Гнутая пластина","1",""
"11","00773407130401050","Труба топлива V","1",""
"12","1990202279","Хомут спирального червяка","10",""
"13","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"14","1040000239","Болт M8×25-8,8","2","JB/T5782-2000"
"15","00773407100401010","Гнутая пластина I","1",""
"16","00773407100401070","Труба топлива IV","1",""
"17","00773407100401060","Пустотелый болт","2",""
"18","1081000673","Сложная уплотнительная шайба","4",""
"19","00773407100401050","Штуцер II","2",""
