"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040100421","Screw M8×20-8.8","6","GB/T70.3-2000"
"2","00775302800810000","Hydraulic Tray box 
  (ZS0607HD Series)","1",""
"","00775302810210000","Hydraulic Tray box 
(ZS0607DC/ACW Series)","1",""
"3","1010305936","Control valve 
  (ZS0607HD)","1",""
"","1010306182","Control valve 
  (ZS0607HD-Li)","1",""
"","1010306187","Control valve 
  (ZS0607DC/ACW)","1",""
"","1010306289","Control valve 
  (ZS0607DC-Li/ACW-Li)","1",""
"4","1010001885","Hydraulic pump drive motor","1",""
"5","1040300067","Washer 10","2","GB/T93-1987"
"6","1040004607","Bolt 3/8-24UNF-1-10.9","2","ASME B18.2.1-2010"
"7","1020005153","Motor","1",""
"8","1040005783","Screw 1/4-20UNC×15-8.8","4","ASME B18.2.1-2010"
"9","1040200304","Nut M6-8","4","GB/T889-1986"
"10","1020005692","Motor driver 
  (ZS0607HD Series)","1",""
"","1020005175","Motor driver 
  (ZS0607DC Series)","1",""
"","1020104202","Motor driver 
  (ZS0607ACW Series)","1",""
