"NO.","Material No.","Item and Spec","Units","Remark"
"1","1030800580","Tire","2",""
"2","00775602810600000","Left steering wheel carrier","1",""
"3","1020005637","Electric machinery 
(ZS1414/1212/ 
1012/0812DC-Li)","2",""
"","1020005532","Electric machinery 
(ZS1212/1012/0812AC-Li)","2",""
"","1020005626","Electric machinery 
(ZS1414AC-Li)","2",""
"4","1040000970","Bolt 3/8－16UNC-30-8.8","12","GB/T5786-2000"
"5","00775602810800000","Right steering wheel carrier","1",""
"6","00775702801600000","Steering linkage 
  (ZS1414DC-Li/AC-Li)","1",""
"","00775602803400000","Steering linkage","1",""
"7","1010201394","Steering cylinder","1",""
"8","1040500034","Pin B20×60","2","GB/T882-1986"
"9","1040500394","Split pin 5×40","2","GB/T91-2000"
"10","1040300106","Washer 20","2","GB/T97.1-2002"
"11","00775602800001050","Wearing ring","2",""
"12","1054400312","Composite bush 57×63×38","4",""
"13","1054400313","Composite bush 25×30×12.5","2",""
"14","1054400314","Composite bush 25×30×15","2",""
"15","1040301847","Washer 10","2","GB/T5287-1985"
"16","1040300067","Washer 10","2","GB/T93-1987"
"17","1040000116","Bolt M10×20-8.8","2","GB/T5783-2000"
"18","1040300054","Washer 12","2","GB/T93-1987"
"19","1040100157","Screw M12×20-8.8","2","GB/T70.1-2000"
"20","1040100127","Screw M6×12-8.8","2","GB/T70.1-2000"
