"NO.","Material No.","Item and Spec","Units","Remark"
"21","00775207020201020","Label- Lithium-ion Battery 
(ZS1414HD/DC/HA/AC-Li only)","2",""
"22","00775307080401040","Label- High pressure liquid hazard","1",""
"23","00775307040401070","Label- Notice, Close tray","2",""
"24","00775307040401060","Label- Use safety arm","1",""
"25","00775307080401020","Label- Electrocution hazard","1",""
"26","00775307010402050","Label- Battery tray quality warranty 
(ZS1414HD/DC/HA/AC-Li )","1","2022.10 Revise"
"","00775607010401040","Label- Battery tray quality warranty 
( ZS1414HD/DC/HA/AC )","1","2022.10 Revise"
"27","00775307020401010","Label- Brake release 
(ZS1414HD/HA/HD-Li/HA-Li only)","1",""
"28","00775609900401040","Nameplate","1",""
"29","00775307080401080","Label- non-insulated","1",""
