"No.","Material No.","Item and Spec","Units","Remark"
"1","","Piston rod","1","HCG0597-70/50-03"
"2","","Check ring","1","40×34.4×1.5"
"3","","O ring","1","32.92×3.53"
"4","","Dust ring","1","50×58×5.8"
"5","","Piston rod seal","1","50×60×7"
"6","","Guide sleeve","1","HCG0597-70/50-04"
"7","","Water-proof O ring","1","75×3.1"
"8","","O ring","1","63.09×3.53"
"9","","Guide ring","1","Td50B"
"10","","Piston seal","1","φ70×φ50×22.4"
"11","","Piston","1","HCG0597-70/50-02"
"12","","Stopper screw","1","M8×12/45H"
"13","","Steel ball 4","1","GB/T308-2002"
"14","","Bearing ring","1","ZD70A"
"15","","Cylinder body","1","HCG0597-70/50-01"
