"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102717","Screw M8×40","4","GB/T70.3-2000"
"2","00775602800001140","Nylon spacer","2",""
"3","00775602800001200","Adjustable pad","4",""
"4","00775302800001100","Tray pin","4",""
"5","00775602800001010","Copper washer","4",""
"6","1040300106","Washer 20-200HV","4","GB/T97.1-2002"
"7","1040300167","Retaining ring 20","4","GB/T894.1-1986"
"8","00775702800400000","Hydraulic Tray (ZS1414HD series)","1",""
"","00775702820400000","Hydraulic Tray (ZS1414DC series)","1",""
"","00775702870200000","Hydraulic Tray (ZS1414HA/AC 
series)","1",""
"9","00775702800200000","Frame (ZS1414DC/AC/HA/HD 
ZS1414HD-Li/HA-Li)   
(Indoor Series)","1",""
"","007757028D0200000","Frame (ZS1414DC/AC)   
(Outdoor Series)","1","2022.10 Revise"
"","00775702820200000","Frame (ZS1414DC-Li/AC-Li) 
(Indoor Series)","1",""
"","007757028E0200000","Frame (ZS1414DC-Li/AC-Li) 
(Outdoor Series)","1","2022.10 Revise"
"10","00775702810200000","Battery Tray 
(ZS1414HD/DC/HA/AC)","1",""
"","00775702800600000","Battery Tray 
(ZS1414HD-Li/DC-Li/ 
ZS1414HA-Li/AC-Li)","1",""
