"No.","Material No.","Item and Spec","Units","Remark"
"0","","Valve block","1","ST5149-A00M"
"1","1010306554","Check valve","1","STCV08-0-000A"
"2","1010309213","Proportional solenoid 
valve","1","PJ2012200"
"3","1019902191","Damping","1","STTY002-1.9"
"4","","Emergency mechanism","1","STTY063"
"5","1081004551","O ring","1","10.77×2.62 HNBR 90SH"
"6","1019803186","Plug","6","4BN-02W/D"
"7","1011200142","Plug","1","4BN-04W/D"
"8","","Coil","1","S160-24 DU-28S"
"9","1011200145","Plug","1","4BN-06W/D"
"10","1010308648","Lower lifting cylinder 
control valve (ZS0407)","1","ST5664-AC00"
"","1010308649","Lower lifting cylinder 
control valve (ZS0607)","1","ST5665-AC00"
"","1010307396","Lower lifting cylinder 
control valve 
ZS0608/ZS0808/ 
ZS0812/ZS1012/ 
ZS1212/ZS1414)","1","BLF-ST5149-AC00"
"11","1140114040","Hydraulic pipe joint","1","GE10LR3/8EDOMD"
"12","1140102034","Screw","4","M8×60-10.9"
"13","1040300063","Gasket","4","GB/T93-1987"
"14","00775305290401010","Spring","1","SUS304"
