"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102717","Screw M8×40","4","GB/T70.3-2000"
"2","00775602800001140","Nylon spacer","2",""
"3","00775602800001200","Adjustable pad","4",""
"4","00775302800001100","Tray pin","4",""
"5","00775602800001010","Copper washer","4",""
"6","1040300106","Washer 20-200HV","4","GB/T97.1-2002"
"7","1040300167","Retaining ring 20","4","GB/T894.1-1986"
"8","1040100127","Screw M6×12-8.8","10","GB/T70.1-2000"
"9","1040300062","Washer 6","10","GB/T93-1987"
"10","00775602800001120","Side bumper stripe 
(ZS1012/ZS1212/ZS0812 series)","2",""
"11","00775602800600000","Hydraulic Tray 
(ZS1212HD/ZS1012HD/ZS0812 
series)","1","2022.10 Revise"
"","00775602810400000","Hydraulic Tray 
(ZS1212DC/ZS1012DC/ 
ZS0812DC series)","1",""
"","00775602860200000","Hydraulic Tray 
  (ZS1212HA/AC、 
ZS1012HA/AC、 
ZS0812HA/AC series)","1",""
