"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102717","Screw M8×40","4","GB/T70.3-2000"
"2","00775602800001140","Nylon spacer","2",""
"3","00775602800001200","Adjustable pad","4",""
"4","1040100127","Screw M6×12-8.8","10","GB/T70.1-2000"
"5","1040300051","Washer 6","10","GB/T97.1-2002"
"6","00775602800001120","Side bumper stripe","2",""
"7","00775302800001100","Tray pin I","4",""
"8","00775602800001010","Copper washer","4",""
"9","1040300167","Retaining ring 20","4","GB/T894.1-1986"
"10","00775402800800000","Hydraulic Tray 
(ZS0808HD/ZS0608HD series)","1",""
"","00775402810400000","Hydraulic Tray 
(ZS0808DC/ZS0608DC series)","1",""
"","00775602860200000","Hydraulic Tray 
  (ZS0808HA/AC series)","1",""
"11","00775502800200000","Battery Tray (ZS0808HD/DC/HA/AC 
ZS0608HD/DC)","1",""
"","00775402821000000","Battery Tray 
  (ZS0808HD-Li/DC-Li/ 
ZS0608HD-Li/DC-Li/ 
ZS0808HA-Li/AC-Li)","1",""
"12","00775402800200000","Frame (Indoor Series)","1",""
"","007754028S0200000","Frame (ZS0808DC/AC) 
(Outdoor Series)","1","2022.10 Revise"
"","00775402840200000","Frame 
(ZS0808DC-Li/AC-Li 
ZS0608DC-Li) (Indoor Series)","1",""
"","007754028R0200000","Frame (ZS0808DC-Li/AC-Li) 
(Outdoor Series)","1","2022.10 Revise"
"13","1040300106","Washer 20","4","GB/T97.1-2002"
