"Item","Part Number","Description","Qty.","Remark"
"21","09910034","Decal, Label-Cosmetic","1",""
"22","09310370","Decal, Instructions-Engine","1",""
"23","09310364","Decal, Instructions-Grease filling port","4",""
"24","09310282","Decal, Instructions-Maximum wheel load 
9350kg","4","BA28RT 
BA28BRT"
"","09310285","Decal, Instructions-Maximum wheel load 
8800kg","4","BA24RT 
BA24BRT"
"25","09410138","Decal, Symbols-Explosion/burn hazard","1",""
"26","09410139","Decal, Symbols-Injection hazard","1",""
"27","09410120","Decal, Symbols-Cutting hazard","1",""
"28","09310254","Decal, Instructions-Air filter","1",""
"29","09310369","Decal, Notice-Filling antifreeze coolant 
notice","1",""
"30","09310368","Decal, Instructions-Antifreeze coolant","1",""
"31","09410123","Decal, Symbols-Pressurized liquids","1",""
"32","09410143","Decal, Notice-Main power switch operation","1",""
"33","09410122","Decal, Symbols-Entangled hazard","1",""
"34","09340070","Decal, Symbols-Non operating hand 
position","4",""
"35","09440212","Decal, Warning-Crushing hazard","3",""
"36","09340041","Decal, Label-Lanyard anchorage point","4",""
"37","09440332","Decal, Danger-Axle release hazard","1",""
"38","09140040","Decal, Platform control panel","1",""
"39","09140037","Decal, Platform control panel","1",""
"40","09140041","Decal, Platform control panel","1",""
"41","09140038","Decal, Platform control panel","1",""
"42","09140039","Decal, Platform control panel","1",""
"43","09140042","Decal, Platform control panel","1",""
"44","09340029","Decal, Instructions-Open/close","2",""
"45","09440330","Decal, Instructions-Work area","1","BA28RT"
"","09440331","Decal, Instructions-Work area","1","BA24RT"
