"Item","Part Number","Description","Qty.","Remark"
"1","00000683","Bolt  GB/T 5783  M10 × 30","4",""
"2","00000679","Spring Washer  GB/T 93  10","4",""
"3","00000615","Flat Washer  GB/T 97.1  10","4",""
"4","00001252","Screw  GB/T 70  M5 × 12","6",""
"5","00000606","Spring Washer  GB/T 93  5","6",""
"6","00000605","Flat Washer  GB/T 97.1  5","6",""
"7","00002205","Contactor","1",""
"8","00005407","Contactor","1",""
"9","00006280","Relay","2",""
"10","00006266","600A Fuse","1",""
"11","00001232","Screw  GB/T 818  M4 × 16 - H","8",""
"12","50000099","Copper Bar 3","3",""
"13","00000757","Seat, Fuse","4",""
"14","92101045","Support","1",""
"15","00000759","200A Fuse","1",""
"16","00001033","Nut  GB/T 6182  M6","4",""
"17","00000620","Flat Washer  GB/T 97.1  6","8",""
"18","00007381","Dc Power Supply","1",""
"19","00000743","Bolt  GB/T 5783  M6 × 20","4",""
