"Item","Part Number","Description","Qty.","Remark"
"1","00006580","Emergency Pump Assembly","1",""
"--","00006954","Motor","1",""
"--","00006955","Pump","1",""
"2","92100501","Bracket","1",""
"3","00000674","Bolt  GB/T 5783  M10 × 20","4",""
"4","00000679","Spring Washer  GB/T 93  10","6",""
"5","00000615","Flat Washer  GB/T 97.1  10","6",""
"6","00006155","Power Distribution Module (Refer to 1-17)","1",""
"7","00001033","Nut  GB/T 6182  M6","4",""
"8","00000620","Flat Washer  GB/T 97.1  6","4",""
"9","00000678","Bolt  GB/T 5783  M10 × 25","2",""
"10","00000619","Bolt  GB/T 5783  M6 × 25","4",""
