"Item","Part Number","Description","Qty.","Remark"
"1","00000683","Bolt  GB/T 5783  M10 × 30","6",""
"2","00000615","Flat Washer  GB/T 97.1  10","24",""
"3","92101279","Support","1","BT30ERT"
"","92048366","Support","1","BT30SERT 
BT28ERT 
BT28BERT"
"","92100094","Support","1","BT28SERT 
BT26ERT 
BT26BERT"
"","92049355","Support","1","BT26SERT 
BT24ERT 
BT24BERT"
"4","92101278","Chain","1","BT30ERT"
"","92048336","Chain","1","BT30SERT 
BT28ERT 
BT28BERT"
"","92100096","Chain","1","BT28SERT 
BT26ERT 
BT26BERT"
"","92049357","Chain","1","BT26SERT 
BT24ERT 
BT24BERT"
"5","00000623","Nut  GB/T 6182  M10","12",""
"6","00002467","Bolt  GB/T 5783  M10 × 90","2",""
"7","92100680","Plate","2",""
"8","92100678","Clamp","1",""
"9","00001041","Bolt  GB/T 5783  M10 × 40","4",""
"10","00000679","Spring Washer  GB/T 93  10","4",""
"11","00001033","Nut  GB/T 6182  M6","2",""
"12","00000620","Flat Washer  GB/T 97.1  6","4",""
"13","00006414","Bolt  GB/T 5782  M6 × 145","2",""
"14","92048339","Roller","2",""
"15","00000854","Screw  GB/T 70.3  M12×25","14","BT30ERT 
BT30SERT 
BT28ERT 
BT28BERT"
