"Item","Part Number","Description","Qty.","Remark"
"1","00002333","Screw  GB/T 818  M4 × 8 - H","4",""
"2","00005395","LED Panel","1",""
"3","00005459","Screw  GB/T 819  M5 × 8 - H","2",""
"4","00005393","Joystick (Steer &Drive)","1",""
"5","00006134","Switch, Toggle","5",""
"6","00000667","Plug, Toggle Switch","4",""
"7","00005401","Switch, Toggle","2",""
"8","00000876","Screw  GB/T 70  M6 × 16","5",""
"9","00000621","Spring Washer  GB/T 93  6","5",""
"10","00000620","Flat Washer  GB/T 97.1  6","5",""
"11","00002326","Alarm","1",""
"12","00001252","Screw  GB/T 70  M5 × 12","8",""
"13","00005391","Hinge","2",""
"14","92000094","Bracket","1",""
"15","92000092","Platform control box","1",""
"16","00005396","Housing for male terminals","1",""
"17","00005398","Housing for female terminals","1",""
"18","50005443","Plug, Contactor","1",""
"19","00003164","Load Sensor Amplifier","1",""
"20","00001987","Screw  GB/T 70  M4 × 8","2",""
"21","00002002","Screw  GB/T 70  M4 × 10","8",""
"22","00005392","Latch","2",""
"23","00000639","MC2M Controller","1",""
"24","00002313","Screw  GB/T 818  M5 × 14 - H","4",""
"25","00000752","Base With 1 NC Contact","1",""
"26","00000754","Red Mushroom Head","1",""
"27","00006135","Switch, Toggle","3",""
"28","00002712","Nut  GB/T 6170  M4","8",""
"29","00000779","Spring Washer  GB/T 93  4","8",""
