"Item","Part Number","Description","Qty.","Remark"
"1","00001055","Bolt  GB/T 5783  M12 × 40","16",""
"2","00000815","Spring Washer  GB/T 93  12","8",""
"3","00000814","Flat Washer  GB/T 97.1  12","24",""
"4","50006096","Hydraulic Module","1",""
"5","00000993","Bolt  GB/T 5783  M8 × 25","14",""
"6","00000609","Spring Washer  GB/T 93  8","14",""
"7","00000608","Flat Washer  GB/T 97.1  8","14",""
"8","50005379","Shield","1",""
"9","50005733","Chassis","1",""
"10","50006099","Control Module","1",""
"11","00001057","Bolt  GB/T 5783  M16 × 45","4",""
"12","00000997","Flat Washer  GB/T 97.1  16","8",""
"13","00001257","Nut  GB/T 6182  M16","4",""
"14","00001249","Nut  GB/T 6182  M12","8",""
