"Item","Part Number","Description","Qty.","Remark"
"30","00004003","Nut","3",""
"31","00006773","Flow Control Valve","1",""
"32","00004858","Flow Control Valve","2",""
"33","00006766","Plug","1",""
"34","00002999","Plug SAE2","72",""
"35","00006720","Pressure Reducing Valve","1",""
"36","00006721","Flow Control Valve","1",""
"37","00006722","Throttle Valve","1",""
"38","00004332","Plug SAE10","2",""
"39","00006723","Logic Element","1",""
"40","00006725","Body","1",""
"41","00003361","Plug SAE6","2",""
"42","00006777","Orifice","1",""
"43","00000528","Cartridge, Counterbalance Valve","2",""
"44","00006726","Check Valve","1",""
"45","00003027","Orifice","2",""
"46","10000404","Check Valve","5",""
