"Item","Part Number","Description","Qty.","Remark"
"1","00000428","8813-506060 Sleeve Bearing","2",""
"2","00000138","895-50466 Pin, Pivot","1",""
"3","00000222","8902-16095 Pin, Lock","3",""
"4","00001161","Bolt  GB/T 5783  M16 × 40","2",""
"5","00001035","Spring Washer  GB/T 93  16","3",""
"6","00000997","Flat Washer  GB/T 97.1  16","3",""
"7","00000130","895-50249 Pin, Pivot","2",""
"8","00001036","Bolt  GB/T 5783  M16 × 50","1",""
"9","","Upper Lifting Cylinder Assembly (Refer to 
5-4)","1","Standard"
"","","Upper Lifting Cylinder Assembly (Refer to 
9-5)","1","Optional"
