"Item","Part Number","Description","Qty.","Remark"
"1","90029459","Shim","16",""
"2","90029460","Shim","8",""
"3","","Left Axle Lockout Cylinder Assembly 
(Refer to 5-2)","1",""
"4","90029458","Pin, Pivot","2",""
"5","00000220","8902-10080 Pin, Lock","4",""
"6","00000683","Bolt  GB/T 5783  M10 × 30","4",""
"7","00000679","Spring Washer  GB/T 93  10","4",""
"8","00000615","Flat Washer  GB/T 97.1  10","4",""
"9","90029120","Pin, Pivot","2",""
"10","","Right Axle Lockout Cylinder Assembly 
(Refer to 5-1)","1",""
