"No.","Material No.","Item and Spec","Qty","Note"
"1","1029903316","Sheath","1",""
"","1029902632","Terminal","48",""
"2","1029902635","Sheath","1",""
"","1029902630","Terminal","32",""
"3","1020700951","/","1","Leveling select valve"
"4","1020703394","Angle limit switch - outside","1",""
"5","1020700969","Angle limit switch - inside","1",""
"6","1020516032","Tower boom stowed limit 
switch - right","1",""
"7","","Tower boom stowed limit 
switch - left","",""
"8","1020700951","/","1","Main boom retracting valve"
"9","1020700951","/","1","Turntable left turn valve"
"10","1020700951","/","1","Rotary reversing valve 2"
"11","1020304982","Alarm buzzer","1",""
"12","1020700951","/","1","Rotary reversing valve 1"
"13","1020700951","/","1","Turntable right-turn valve"
"14","1020700951","/","1","Main boom extending valve"
"15","1020700951","/","1","Tower boom lifting valve"
"16","1020700951","/","1","Main boom lifting valve"
"17","1020404399","Work alarm light","1",""
"18","","Tower boom - upper limit 
switch","",""
"19","1020700951","/","1","Light- reserved"
"20","1020703391","Sheath","1","Slip ring plug 1"
"","1020700957","Sheath","1","Plug-in"
"21","1020700440","Sheath","1","Slip ring plug 2"
"","1020700942","Sheath","1","Plug-in"
"22","1029805416","Slip ring","1",""
