"No.","Material No.","Item and Spec","Qty","Note"
"31","1040301515","Washer 8-200HV","20","GB/T97.1"
"32","1040004522","Bolt M8×50-8.8","4","GB/T5783"
"33","00773700400001401","Dam-board II","2",""
"34","00773700400001371","Clamp III","2",""
"35","00773700400600001","Upper pull rod","1",""
"36","00773700400001150","Bearing","4",""
"37","00773700400001060","Pin VI","1",""
"38","1040200507","Nut M12-8","1","GB/T889.1"
"39","1040302490","Washer 12-200HV","1","GB/T97.1"
"40","00773700400001380","Pipe stopper","1",""
"41","00773700400001520","Screw I M12×240","1",""
"42","00773700400001050","Pin V","1",""
"43","00773700400200001","Lower pressing rod","1",""
"44","00773400300001070","Bearing","8",""
"45","00773700400001362","Clamp II","1",""
"46","00773700400001352","Clamp I","2",""
"47","00773700400001390","Dam-board I","4",""
"48","1040000135","Bolt M8×55-8.8","8","GB/T5783"
"49","00773700401400000","Boom lifting cylinder","2",""
"50","00773400400001020","Bearing","16",""
"51","1040002436","Bolt M12×25-8.8","4","GB/T5783"
"52","00773700400001010","Pin I","4",""
"53","02564700300001010","Luffing  balace  valve  cover 
plate","2",""
"54","00773700400001030","Pin III","2",""
"55","00773700400001180","Pin fixing plate","2",""
"56","1040103164","Screw 
  M10×30-8.8","6","GB/T70.3"
"57","00773700400001130","Bearing","4",""
"58","00773700400400000","Lower pull rod","2",""
"59","00773700400001261","Cushion block","2",""
"60","00773700400001550","Adjustable gasket","2",""
