"No.","Material No.","Item and Spec","Qty","Note"
"1","02564700300200000","Base boom","1",""
"2","00773700300001090","Long screw M12×260","2","GB/T97.1"
"3","1040302490","Washer 12-200HV","4",""
"4","00773700300001080","Pipe stopper","2",""
"5","1040202861","Nut M12-10","2",""
"6","00773700300001210","Main boom sealing plate","5",""
"7","1040300771","Washer 6-200HV","47","GB/T97.1"
"8","1040005844","Bolt M6×10-A2-70","20","GB/T5783"
"9","1040004553","Bolt M6×35-8.8","4","GB/T5783"
"10","1040303579","Washer 6-200HV","8",""
"11","1040103133","Screw M6×30-A2-70","8",""
"12","00773700300001141","Pipeline pressing plate","2",""
"13","00773700300001240","Hose seat","2",""
"14","00773700300001190","Pipeline cover","2",""
"15","1040002738","Bolt M6×12-A2-70","12","GB/T5783"
"16","1040004032","Bolt M10×20-8.8","16","GB/T5783"
"17","1040302489","Washer 10-200HV","36","GB/T97.1"
"18","00773400300001140","Adjustable gasket Ⅴ","4",""
"19","00773400300001131","Adjustable gasket (2mm)","20",""
"20","00773700303000001","Slider assembly","12",""
"21","1040202854","Nut M6-8","8",""
"22","00773700301400000","Upper dust-proof brush","1",""
"23","00773700301800000","Side dust-proof brush","2",""
"24","00773700301600000","Lower dust-proof brush","1",""
"25","1040001640","Bolt M6×25-A2-70","8","GB/T5783"
"26","00773400312600000","Slider assembly","4",""
"27","00773400300001101","Adjustable gasket (3mm)","4",""
"28","02564700300600000","Telescopic boom sticker","1",""
"29","1040103076","Screw M8×16-8.8","4","GB/T70.3"
"30","00773700400001291","Board","2",""
