"No.","Material No.","Item and Spec","Qty","Note"
"1","1040103076","Screw M8×16-8.8","4","GB/T70.3"
"2","00773700400001290","Board","2",""
"3","00773700200001070","Pin","1",""
"4","00773700200200000","Support","1",""
"5","00773400200001020","Bearing","2",""
"6","00773400200001010","Bearing","10",""
"7","00773700200001010","Bearing","2",""
"8","00773700200001082","Pipeline guard board","1",""
"9","1040004619","Bolt M8×35-8.8","4","GB/T5783"
"10","1040301515","Washer 8-200HV","8","GB/T97.1"
"11","1040103133","Screw M6×30-A2-70","8",""
"12","00773700200001100","Pipeline pressing plate","2",""
"13","00773700200001090","Pipeline slot","2",""
"14","1040004517","Bolt M8×16-8.8","4","GB/T5783"
"15","1040301510","Washer 8","4","GB/T93"
"16","00771400211200000","Adjustable clamp","2",""
"17","00773700200400002","Upper linkage","1",""
"18","1040002433","Bolt M10×20-8.8","6","GB/T5783"
"19","00773400300001200","Stop pin","6",""
"20","00773700200001050","Pin","2",""
"21","1010202248","Rotary actuator","1",""
"22","00773700200810000","Jib cylinder","1",""
"23","00773700200600000","Lower linkage","2",""
"24","00773700200001060","Pin","2",""
