"No.","Material No.","Item and Spec","Qty","Note"
"1","1020810958","Joystick","1","Emergency power 
and enable"
"2","1020810958","Joystick","1","Drive orientation"
"3","1020521444","Joystick","1","Light"
"4","1020521443","Joystick","1","Travel speed 
control"
"5","1020405061","Alarm indicator panel","1",""
"6","00773406200211050","Platform electric cabinet film","1",""
"7","1020519658","Emergency stop button","1",""
"","1020509007","Button seat","1",""
"8","1020521445","Joystick","1","Platform leveling"
"9","1029802085","Nylon plug","5",""
"","1029804205","Jam nut","5",""
"10","1020520994","Handle","1",""
"11","1020520995","Potentiometer","1",""
"12","1020520084","Toggle switch","1","Platform rotation 
switch"
"13","1020520084","Toggle switch","1","Jib lifting switch"
"14","1020520084","Toggle switch","1","Boom extension"
"15","1020520084","Toggle switch","1","Tower boom 
lifting"
"16","1020520993","Handle","1",""
"17","1020103903","Controller","1",""
"","1020103955","Connector assembly","1",""
"18","","Insulator","4",""
"19","1022399012","Line slot","1",""
"20","1020404405","Flash buzzer","1",""
"21","1020703394","Deutsch connector","1","Chain cables"
"22","1029904980","Terminal","11",""
"23","1029905392","Terminal","4",""
"24","1020703393","Round connector","1","Platform cables"
