"No.","Material No.","Item and Spec","Qty","Note"
"1","1040200113","NutM10-8","10","GB/T6170"
"2","1040302489","Washer    10-200HV","8","GB/T97.1"
"3","00773700800001090","Dam-board","1",""
"4","1040000135","Bolt M8×55-8.8","2","GB/T5783"
"5","00773700810601031","Bending plate Ⅰ","1",""
"6","00773700810601020","Hose seat","1",""
"7","1040004535","Bolt M10×60-8.8","4","GB/T5782"
"8","00773700810601011","Bending plate","1",""
"9","1040301515","Washer    8-200HV","2","GB/T97.1"
"10","1040200503","Nut M8-8","2","GB/T889.1"
"11","1040004032","Bolt","4",""
"12","1040303581","Washer","4",""
"13","00773700861601060","Fixed plate","2",""
"14","00773700861601050","Stop lever","1",""
