"No.","Material No.","Item and Spec","Qty","Note"
"31","00773700300001040","Pin IV","1",""
"32","00773700301000001","Upper leveling cylinder","1",""
"33","00773400300001210","Bearing","8",""
"34","1040004029","Bolt M12×35-10.9","2","GB/T5783"
"35","00773400200001070","Stop pin","2",""
"36","00773700300001010","Pin I","1",""
"37","00773700300400004","Telescopic boom","1",""
"38","1040004520","Bolt M8×30-8.8","2","GB/T5783"
"39","1040301515","Washer 8-200HV","6","GB/T97.1"
"40","00773700300001100","Telescopic cylinder support plate","1",""
"41","1040004518","Bolt M8×20-8.8","4","GB/T5783"
"42","00773700300001181","Cylinder adjustable gasket II","2",""
"43","00773700300001171","Cylinder adjustable gasket I","4",""
"44","00773700302000001","Right board","1",""
"45","1040004033","Bolt M10×25-10.9","8","GB/T5783"
"46","00773700302200001","Left board","1",""
"47","00773400300001200","Stop pin","2",""
"48","00773700300001051","Telescopic cylinder pin","2",""
"49","00773700301200000","Telescopic cylinder","1",""
"50","00773700300600000","Upper boom lifting cylinder","1",""
"51","00773400300001070","Bearing","6",""
"52","00773700300001030","Pin III","1",""
"53","00773400400001250","Stop pin","1",""
"54","1040006550","Bolt M16×40-10.9","1",""
"55","00773700300800001","Lower leveling cylinder","1",""
"56","00773700300001020","Pin II","1",""
"57","1040000574","Bolt M10×30-10.9","14",""
"58","02564700300001010","Luffing balace valve cover plate","1",""
"59","00771400340001091","Sensor cover","2",""
"60","00773700302400001","Protective cover","1",""
"61","1040102778","Screw M6×10-8.8","3","GB/T70.1"
