"No.","Material No.","Item and Spec","Qty","Note"
"1","1040004603","Bolt M8×75-8.8","2","GB/T5782"
"2","00773700400001390","Dam-board I","1",""
"3","00773700700001021","Chain rectangular tube clamp I","1",""
"4","00773700700001091","Chain rectangular tube clamp II","1",""
"5","1040301515","Washer 8-200HV","8","GB/T97.1"
"6","1040200503","Nut M8-8","9","GB/T889.1"
"7","1040004557","Bolt M8×50-8.8","2","GB/T16674.1"
"8","00773400700001050","Bending mounting plate","1",""
"9","00773400700001020","Hose seat","1",""
"10","1040102737","Screw M8×30-8.8","1","GB/T70.1"
"11","1040102751","Screw M5×25-8.8","8","GB/T70.1"
"12","1040300514","Washer 5-200HV","8","GB/T97.1"
"13","1040201904","Nut M5-8","8","GB/T889.1"
"14","1040004519","Bolt M8×25-8.8","4","GB/T5783"
"15","1040302480","Washer 8-200HV","4","GB/T96.1"
"16","00773700700400001","Tray","1",""
"17","00773700700001081","Chain mechanism","1",""
"17A","1109900986","Chain connector I E4.421.12.1.1","1",""
"17B","1109900987","Chain connector II E4.421.12.1.2","1",""
"17C","1109900988","Chain side plate (outside) E4.42.01","35",""
"17D","1109900990","Chain 
side 
plate 
(inside) 
E4.42.02.075.0","35",""
"17E","1109900991","Chain cross-bar 385.12","70",""
"17F","1109900993","Chain shim 42.1","35",""
"18","1040103076","Screw M8×16-8.8","4","GB/T70.3"
"19","00773700700001100","Base plate","1",""
"21","00773700700001012","Rectangular pipe","1",""
"22","00773700700001070","Transition plate","1",""
