"No.","Material No.","Item and Spec","Qty","Note"
"1","1010601742","Return-oil filter","1",""
"2","1040301502","Washer 10-200HV","2","GB/T93"
"3","1040101492","Screw M10×25-8.8","2","GB/T70.1"
"4","1140101464","Male stud connector","1",""
"5","1140101489","Tube to swivel","1",""
"6","1140101809","Reducer union","1",""
"7","1040103111","Screw M8×16-8.8","8","GB/T70.1"
"8","1010500489","Air Filter","1",""
"9","1040301510","Washer 8-200HV","8","GB/T93"
"10","00773405200220001","Window cover","1",""
"11","00773705200220020","Seal pad","1",""
"12","00773705200220011","Oil tank body","1",""
"13","1140102940","Male stud connector","1",""
"14","1140107397","Tube to swivel","1",""
"15","1140114591","Tube to reducer union","1",""
"16","1040005852","Bolt M12×20-8.8","4","GB/T5787"
"17","1140107416","Plug","2",""
"18","1019901470","Liquid-filled 
thermometer","1",""
