"No.","Material No.","Spec and Item","Qty","Note"
"31","00773400130401040","Cushion block I","8",""
"32","1054600077","Needle bearing","8",""
"33","02564400100401010","Linkage","2",""
"34","02564400100401020","Axle","4",""
"35","00773400130401090","Axle board","4",""
"36","1040004646","Bolt M10×15-8.8","4","GB/T5783"
"37","1080000005","Oil cup M6×1","8",""
"38","1040201111","Nut M24-10","1","GB/T889"
"39","1040301511","Washer 24-200HV","1","GB/T97.1"
"40","00773400100401030","Adjustable pad","2",""
"41","00773400130410000","Transition seat","1",""
"42","1040101978","Screw M12×30-10.9","12",""
"43","1040007563","Bolt M24×290-10.9","1","GB/T5782"
"44","1040102372","Hexagon socket cap screw     
M6×20-A2-70","4","GB/T70.1"
"45","1999904986","Document box 355×280×55","1",""
"46","00773400130600000","Hydraulic 
valve 
frame 
weldment","1",""
"47","1022397102","Open bellows","1",""
"48","/","Platform console","1",""
"49","/","Load cell","1",""
