"No.","Material No.","Item and Spec","Qty","Note"
"31","1030800695","Tire","2",""
"32","1040004520","Bolt M8×30-8.8","4","GB/T5783"
"33","00773702810400001","Fork installation","1",""
"34","02564702810800000","Emergency battery bracket","1",""
"35","1040004519","Bolt M8×25-8.8","2","GB/T5783"
"36","1040002433","Bolt M10×20-8.8","10","GB/T5783"
"37","02564702810001020","Steering valve bracket","2",""
"38","1040004565","Bolt M10×30-8.8-DKL","4","GB/T5783"
"39","1040201860","Nut","4",""
"40","1040200113","Nut M10-8","4","GB/T6170"
"41","1040002435","Bolt M10×35-8.8","4","GB/T5783"
"42","00773702803401010","Motor bracket","1",""
"43","1040101643","ScrewM6×30-A2-70","4","GB/T70.1"
"44","1040000289","Bolt M6×50-8.8","2","GB/T5783"
"45","1040300771","Washer 6-200HV","2","GB/T97.1"
"46","00773402830001150","Charging cable clamp","2",""
"47","1040003572","Bolt M20×55-10.9-DKL","8","GB/T5783"
"48","1040301033","Washer 20-300HV","8","GB/T97.1"
"49","00773702803000001","Float cylinder","2",""
"50","00773700400001130","Bearing","4",""
"51","00773702800001031","Steering knuckle – Upper wear 
plate","2",""
"52","02564402802000000","Angle sensor installation","1",""
"53","00773702800001150","PinⅠ","2",""
"54","00773702800001520","Cover plate","2",""
"55","1040001715","Bolt M6×45-A2-70","4","GB/T5783"
"56","00773702800001021","Pin","1",""
"57","00773400200001070","Stop pin","4",""
"58","1040004511","Bolt M12×30-8.8","4","GB/T5783"
"59","00773702803600000","Motor protective plate","2",""
"60","00773702800800001","Steering knuckle I","1",""
