"No.","Material No.","Item and Spec","Qty","Note"
"1","1021404018","Frame angle sensor","1",""
"2","1020700942","Connector","1",""
"3","1020702062","Sheath","1",""
"4","1020703635","Sheath","1","Functional pump 
temperature plug"
"5","1029801230","Sheath","1","Functional pump speed 
plug"
"6","1020520996","Emergency switch","1",""
"7","1020700951","Sheath","1",""
"8","1020903396","Emergency battery","1",""
"9","1029907231","Fine slip ring","1",""
"10","1020703391","Sheath","1","Slip ring plug 1"
"","1020700957","Sheath","1","Plug-in"
"11","1020700440","Sheath","1","Slip ring plug 2"
"","1020700942","Sheath","1","Plug-in"
"12","1029900318","Sheath","1","Left steering valve"
"13","1029900318","Sheath","1","Right steering valve"
"14","1020700951","Sheath","1",""
"15","1020700949","Sheath","1",""
"16","1020700961","Sheath","1",""
"17","1020700957","Sheath","1",""
"18","1020700942","Sheath","1",""
