"No.","Material No.","Item and Spec","Qty","Note"
"1","00773701100001030","Adjustable pad","4",""
"2","00773401100700000","Hinge","4",""
"3","1040301515","Washer    8-200HV","8","GB/T97.1"
"4","1040004517","Bolt M8×16-8.8","8","GB/T5783"
"5","1040200503","Nut M8-8","20","GB/T889.1"
"6","1040302480","Washer 8-200HV","20","GB/T96.1"
"7","1040004520","Bolt M8×30-8.8","16","GB/T5783"
"8","1110100355","Gas spring","4",""
"9","1040200504","Nut M10-8","8","GB/T889.1"
"10","1040004678","Door knob bolt","4",""
"11","00773701130200000","Left hood","1",""
"12","00773701130400000","Right hood","1",""
"13","00773601100801020","Round steel","1",""
"14","00773701130001020","Left lock seat","1",""
"15","1109900766","Battery gate lock","1",""
"16","1040200113","Nut M10-8","12","GB/T6170"
"17","00773701120001050","Door knob bracket","2",""
"18","1040004565","Bolt M10×30-8.8-DKL","4","GB/T5783"
"19","1040302512","Washer    10-200HV","8","GB/T96.1"
"20","00773601100801021","Round steel","1",""
"21","1040201089","Nut M8-8","4","GB/T6170"
"22","00773701130001040","Right lock seat","1",""
"23","1040100105","Screw M6×25-8.8","14","GB/T70.1"
"24","1040300771","Washer 6-200HV","14","GB/T97.1"
"25","1109900765","Hydraulic door lock","1",""
"26","00773601100801010","Right locking plate","1",""
"27","00773601100801011","Right locking plate","1",""
"28","1100700163","Door handle","2",""
