"No.","Material No.","Item and Spec","Qty","Note"
"1","1140113796","45° combined connector","2",""
"2","1140101483","Tube to swivel","1",""
"3","1140101477","Tube to bend","3",""
"4","1140111291","Tube to swivel","1",""
"5","1140101476","Tube to bend","2",""
"6","1140101461","Male stud connector","2",""
"7","1140101462","Male stud connector","2",""
"8","1140115519","Male stud connector","1",""
"9","1010307351","Steering priority valve","1",""
"10","1040301510","Washer 8-200HV","2","GB/T93"
"11","1040103111","Screw M8×16-8.8","2","GB/T70.1"
