"No.","Material No.","Item and Spec","Qty","Note"
"1","1040101492","Screw 
  M10×25-8.8","16","GB/T70.1"
"2","00773700400001451","Cushion block","2",""
"3","00773700400001461","Adjustable pad I","2",""
"4","00773700400001471","Adjustable pad II","2",""
"5","1040103140","Screw M12×25-8.8","8",""
"6","00773700400001100","Pin X","1",""
"7","00773400200001070","Stop pin","5",""
"8","1040002437","Bolt M12×35-8.8","1","GB/T5783"
"9","00773700400001480","Cover","1",""
"10","1040302529","Washer 5-200HV","6","GB/T96.1"
"11","1040004672","Bolt M5×10-8.8","6","GB/T5783"
"12","00773700401600000","Upper upright","1",""
"13","1040002446","Bolt M16×40-8.8","5","GB/T5783"
"14","00773400400001250","Stop pin","7",""
"15","00773700400001070","Pin VII","2",""
"16","00773700400001140","Bearing","4",""
"17","00773700400001490","Guide block I","1",""
"18","00773700400800000","Upper pressing rod","2",""
"19","00773700400001090","Pin IX","2",""
"20","00773700400001500","Guide block II","1",""
"21","00771400600001070","Self-lubricating bearing","8",""
"22","00773700400001040","Pin IV","2",""
"23","00773400400001170","Stop pin","2",""
"24","1040004499","Bolt M20×45-8.8","2","GB/T5783"
"25","1040103076","Screw M8×16-8.8","12","GB/T70.3"
"26","00773700400001290","Board","6",""
"27","00773700400001080","Pin VIII","2",""
"28","00773700400001280","Protective plate II","2",""
"29","00773700400001342","Pipeline cover IV","2",""
"30","1040004517","Bolt M8×16-8.8","8","GB/T5783"
