"No.","Material No.","Item and Spec","Qty","Note"
"61","00773702800400001","Front axle weldment","1",""
"62","00771600301001250","Stop pin","6",""
"63","00773702800001340","PinⅥ","6",""
"64","00773402810001260","Bearing","6",""
"65","00773702801400000","Steering cylinder","2",""
"66","00773702802000001","Steering linkage","1",""
"67","00773702800001220","Lubrication-free bearing","2",""
"68","00773702800001330","Pin","1",""
"69","00773400400001250","Stop pin","1",""
"70","1040002446","Bolt M16×40-8.8","1","GB/T5783"
"71","00773702800001020","Pin","1",""
"72","00773702800001200","Steering  knuckle  –  Lower  wear 
pad","2",""
"73","00773702801200002","Steering knuckle II","1",""
