"No.","Material No.","Item and Spec","Qty","Note"
"1","1040300735","Washer 6-200HV","33","GB/T96.1"
"2","1040001631","Bolt M6×20-A2-70","37","GB/T5783"
"3","02564702811200000","Front cover weldment","1",""
"4","1040004521","Bolt M8×45-8.8","2","GB/T5783"
"5","1040301515","Washer 8-200HV","16","GB/T97.1"
"6","02564702800001020","Charger port protective box","1",""
"7","1040200503","Nut M8-8","8","GB/T889.1"
"8","1030801256","Tire","2",""
"9","1030800696","Tire","2",""
"10","1040202297","Nut M16×1.5-10(Spiralock)","36","GB/T6177.2"
"11","1040102737","Screw M8×30-8.8","8","GB/T70.1"
"12","1040201089","Nut M8-8","4","GB/T6170"
"13","02564702800400000","Battery box – Upper cover weldment","2",""
"14","02564702800210000","Bottom plate","1",""
"15","1040303580","Washer","4",""
"16","1040103558","Screw M8×25-8.8","4","GB/T70.3"
"17","1040201772","NutM4-A2-70","8","GB/T6170"
"18","1101000180","lock","4",""
"19","1040102429","Screw","20",""
"20","1040005681","Hexagon head bolt M16×65-8.8","8","GB/T5783"
"21","1040300247","Washer 16-200HV","8","GB/T96.1"
"22","02564702800200000","Frame weldment","1",""
"23","00773702800001480","Cover plate","1",""
"24","00773702800001082","Frame cover plate","1",""
"25","00773702800001100","Cover plate","4",""
"26","1040103166","Screw","32",""
"27","1040302492","Washer 16-200HV","32","GB/T97.1"
"28","02564702810001030","Emergency pump bracket","1",""
"29","1030203018","Reducer motor assembly","4",""
"30","1030801255","Tire","2",""
