"No.","Material No.","Item and Spec","Qty","Note"
"1","1010309171","Main valve","1",""
"2","1140101477","Male stud connector","2",""
"3","1140101462","Male stud connector","5",""
"4","1140114187","Pressure testing 
connector","1",""
"5","1140101629","Plug","2",""
"6","1140101464","Male stud connector","1",""
"7","1140101489","Tube to swivel","1",""
"8","1140101478","Tube to bend","1",""
"9","1019901008","Combined connector","1",""
"10","1140101809","Tube to reducer union","1",""
"11","1010306664","Check valve","1",""
"12","1140111291","Tube to swivel","1",""
"13","1140114451","45°combined bend","4",""
"14","1140101941","Male stud connector","4",""
"15","1140113796","45°combined bend","4",""
