"Item","Part Number","Description","Qty.","Remark"
"--","90003624","Flat, Flange","2",""
"--","00000814","Flat Washer  GB/T 97.1  12","4",""
"--","00000815","Spring Washer  GB/T 93  12","4",""
"--","00001055","Bolt  GB/T 5783  M12 × 40","4",""
"59","50009318","Hose Assembly","1",""
"60","00001270","Fitting, Straight","1",""
"61","00010483","SAE Flange Fitting","2",""
"--","00008672","Flat，Flang","4",""
"--","00000814","Flat Washer  GB/T 97.1  12","8",""
"--","00000815","Flat Washer  GB/T 93  12","8",""
"--","00002046","Bolt  GB/T 5783  M12 × 35","8",""
"62","50009319","Hose Assembly","1",""
"--","90003624","Flat, Flang","2",""
"--","00000814","Flat Washer  GB/T 97.1  12","4",""
"--","00000815","Flat Washer  GB/T 93  12","4",""
"--","00001055","Bolt  GB/T 5783  M12 × 40","4",""
"63","50008463","Hose Assembly","1",""
"64","50008461","Hose Assembly","1",""
"65","00002069","Fitting, Straight","2",""
"66","50005177","Hose Assembly","1",""
