"Item","Part Number","Description","Qty.","Remark"
"12","09910110","Decal, Label-Cosmetic","1",""
"13","09410244","Decal, Symbols-Slope rating","1","BA22CRT2"
"","09410245","Decal, Symbols-Slope rating","1","BA20CRT2   
BA18CRT2   
BA16CRT2"
"14","09310676","Decal, Instructions-Work area","1","BA22CRT2 
(Standard)"
"","09310678","Decal, Instructions-Work area","1","BA20CRT2 
(Standard)"
"","09310680","Decal, Instructions-Work area","1","BA18CRT2 
(Standard)"
"","09310682","Decal, Instructions-Work area","1","BA16CRT2 
(Standard)"
"","09310677","Decal, Instructions-Work area","1","BA22CRT2 
(Optional)"
"","09310679","Decal, Instructions-Work area","1","BA20CRT2 
(Optional)"
"","09310681","Decal, Instructions-Work area","1","BA18CRT2 
(Optional)"
"","09310683","Decal, Instructions-Work area","1","BA16CRT2 
(Optional)"
"15","09310687","Decal, Instructions-Noise 102dB","1",""
"16","09310253","Decal, Instructions-Diesel","1",""
"17","09410156","Decal,  Caution-Ultra  low  sulfur  diesel  fuel 
only","1",""
"18","09310252","Decal, Instructions-Hydraulic","1",""
"19","09410118","Decal, Symbols-Hand crushing hazard","3",""
"20","09430049","Decal, Danger-Do not lifting","2",""
"21","09310250","Decal, Instructions-White arrow reverse","1",""
"22","09410186","Decal, Symbols-High temperature","2",""
"23","09910111","Decal, Label-Cosmetic","1",""
"24","09310370","Decal, Instructions-Engine","1",""
"25","09410120","Decal, Symbols-Cutting hazard","1",""
"26","09310369","Decal, Notice-Filling antifreeze coolant 
notice","1",""
